,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
PUBINST,-0.011680829631274543,0.00033978438969411995,-0.08422463854888179,-0.09065742745381722,-0.047380091379903344,0.1507256856791514,-0.04351579351996676,0.1323348821434518,-0.15325400111846754,0.3580244615827108,-0.09104059248652717,-0.0978461550786261
M_MD_R500,-0.02135121402405649,-0.021842430292883915,-0.1731117148359207,-0.18175330623378652,0.16557373986102944,0.019888970494981787,-0.16887439260898632,-0.03642076952003431,0.0034693763579812416,-0.1536116832610861,-0.003940411490795348,0.2154410951905828
CULSPOR,-0.022700782808956228,-0.024233751366932316,-0.06681779148445582,-0.16434688371281406,0.1219050416914382,-0.030842073283419036,0.26716843389928585,-0.054842540364989006,-0.2698470096830234,-0.024495955351943252,-0.1893106451895818,-0.2873521178209595
POP_SEG,-0.036026166553971374,-0.08390184090980504,-0.11707488857031714,-0.0905750237179857,0.025390432488857875,0.04081581647113938,0.010253179919118505,0.2783753055873532,-0.1788146841295675,-0.3118616891159491,-0.11917513395487704,-0.20957805975638338
EDUCAT,-0.036823083823362884,0.00607659807723826,-0.004878661065672946,0.016025207502874738,0.021188642629192955,-0.028097178412151758,-0.07099760006973903,0.25073794197771376,0.08077808970889228,-0.13221214874593518,0.3145285591679516,0.12113370420670608
M_MD_RN,-0.037886598069800874,-0.0009524442923703539,0.1380111214976559,-0.2936422841997725,-0.04607355957309831,-0.14331893053412928,-0.023005571373911807,-0.10213791334346922,-0.07111208152694229,0.19424339017062245,0.04557653528902579,0.057008597127750034
M_MD_R1500,-0.04852374098242538,-0.0759062219872705,-0.16808531952704145,0.2366198928568836,-0.02016720506371994,0.02878605113413661,-0.042260467405676204,0.1360451752123327,0.17140868281100605,-0.02431651753997451,-0.022775127391395988,-0.17135558594212474
M_MD_R1000,-0.05334695146685802,-0.0969190218077276,-0.20331351085077737,-0.01870711387004675,0.044218477332128005,0.08705842001723611,-0.08212199457270337,0.1576711534954041,0.19078410191408826,0.051206698675888646,0.011823477411865872,-0.29650361224685945
M_MD_R750,-0.053657347160738764,-0.10886027443016179,-0.2022029485779586,-0.061082482963142726,0.08078044916264814,0.04853406025936638,-0.13692997428810508,0.0781468313893749,0.11085430398460851,0.027169243425047354,0.19702321597171685,-0.16410895762666472
M_MD_R1250,-0.055595231243675526,-0.07714950631516466,-0.21372072170354986,0.0929453389883126,0.013855394692713774,0.09533303848706112,-0.08623470293415134,0.1028968954462766,0.20083732215123906,0.018682833857311475,-0.04557992043031512,-0.21627347765154348
M_MD_R2500,-0.058707415330328465,-0.1158681520769405,0.05247746566537401,0.2509156934365679,0.21550351743658117,-0.019754598764738434,0.08916317650183063,-0.12629941335405992,-0.13673800390444277,0.05491933914946562,-0.0032577241295940573,0.03054864510953246
M_MD_R3000,-0.06613811631416933,-0.13319746062676346,0.004869702620203552,0.26035092926673353,0.1891444061196571,-0.0801413362227297,0.145486420084375,-0.059589291505752526,-0.0640742065396148,0.015769861826869597,-0.0053243608306154586,-0.03510038112676514
M_MD_R5000,-0.0745930243694844,-0.07464820553253401,0.10133688918743813,-0.18680174937388075,0.045060515849439424,-0.22867266340660125,0.09381222952470147,-0.13317418014123605,-0.04676688006117315,0.2920908625594845,0.0945973565628736,-0.06706089618716063
M_MD_R3500,-0.07462969161551986,-0.13178249223914099,0.011200647511118175,0.25466808550991815,0.169928212784192,-0.1243248633751042,0.07726116720570815,0.036475060874163454,0.06502898020169973,-0.1225891273739556,-0.010993773452292296,-0.06477520098693755
M_MD_R2000,-0.07954138972509497,-0.14913705942317476,-0.03397828942297593,0.232463843467787,0.15468294820454137,-0.023984129073701285,0.05669699630836395,-0.09984992324409012,-0.05417335224176108,0.0976630425651939,0.017262388920605328,0.01294749223745318
M_MD_R4000,-0.09784363116169334,-0.12402815480152739,0.06634000404537964,0.11101454269904092,0.10546411524224242,-0.2544543986168082,0.1617940869902328,0.024837834258079217,0.029426945229101022,-0.11504432261312024,0.024762771083113626,-0.015833245818359737
M_MD_R4500,-0.0999998182275183,-0.12015548560089225,0.09271498177902748,-0.08142612525770485,0.09085562603185136,-0.26743099144517385,0.12151310081807981,-0.03695961623068939,0.030915088702463418,0.12823425950805542,0.0857760924164675,-0.03786194033585972
